,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,O*NET-SOC Code,round O*NET-SOC Code
Natural Sciences Managers,-9.381610990176707,-1.1831234001971063,-2.6183079004351772,9.412381286536856,1.259808061050087,-1.9114795772047568,-1.047146615120742,3.833394773936473,-2.211325935068204,0.320433537154984,0.871952290549639,0.023233406633534782,1.540367124454213,-0.7426813173226949,1.049094671279486e-15,119121.0,119121.0
Clinical Research Coordinators,-6.184643735654153,0.4891375003614554,8.579678905500352,2.295074275926508,-3.914119108984072,-2.724923789541752,4.507140304096496,-1.4055362089564487,1.0003587286824258,-2.7270870805183374,-2.516716731122769,1.0366819834243424,0.38315035128603364,0.05021696771788326,1.049094671279487e-15,119121.01,119121.0
Water Resource Specialists,-6.791284271738221,2.6110465771583753,-5.119801273179769,-5.200007738962049,3.219557456880309,0.8667565809887277,3.412048920046463,1.1158079738254139,-0.591840517625322,-1.5987742418146702,-0.983375869388391,-3.114154149531101,0.196581902440394,-2.623264159176387,1.049094671279486e-15,119121.02,119121.0
Logisticians,-11.249081183329562,-1.8079083600717556,-0.23471580600323466,-1.2576627183127713,-4.905123259820144,-1.8067780282974741,-1.737418856393812,-1.7556820019905328,1.1990275187937158,-0.28467715104137825,4.476042264721356,-2.047619548356081,-1.9463739901195167,-0.030206975186552607,1.049094671279486e-15,131081.0,131081.0
Logistics Engineers,-9.49158721093992,3.5671589266257717,-5.873101246266069,-2.631096315347522,-0.7206634625507328,2.576626206573471,1.4346290745848709,1.2864670168664807,-0.5555746400544133,0.4968580703840555,0.2844322052815737,5.031436963817121,-1.6548668421806656,0.7306400655233566,1.0490946712794882e-15,131081.01,131081.0
Logistics Analysts,-6.880616559128058,2.8023586486511163,-1.2473404714703022,-3.478134096272859,-4.028070149895596,0.8183123331976733,-4.495192206414207,-0.5578812607980448,0.7194586560456606,1.948528273808141,-2.9841875621461074,-0.5652866335111207,3.1074031557817294,0.5015064464368001,1.0490946712794855e-15,131081.02,131081.0
Conservation Scientists,-2.594426555165583,-5.10196838198778,-1.2729706735039072,-0.864433973218008,4.384014004506739,-0.5110766973933416,2.9103166440097024,-3.627568398217932,-2.0471788044753407,1.676790630722314,1.099990836442213,-0.6810009291854926,1.6820364106207903,3.0951256524265447,1.0490946712794864e-15,191031.0,191031.0
Range Managers,-1.6180768823272733,-6.6491837999318975,-0.952289235407381,0.7557360487015305,5.383301864233018,-2.856067400254145,-3.473369171500271,-2.656911123523512,2.2601548283653337,0.10454101286429315,-2.4444085967492915,1.2476995222948155,-2.0177216760786827,-1.274980347808311,1.0490946712794866e-15,191031.02,191031.0
Park Naturalists,0.5201147505902857,-9.386573279698156,10.784888189939073,-3.9173517636839574,1.1755191452184415,3.255280152595633,-0.9139054564259725,3.947280633398551,-0.7553316381968794,0.4915500676192375,0.6744755010182442,0.1761812858407257,-0.11891066221870761,-0.1295120764983463,1.0490946712794864e-15,191031.03,191031.0
Medical and Clinical Laboratory Technologists,4.666762872857659,2.62207126987274,1.9009253960425203,5.376796939713514,-1.2052533380082562,6.6760659318921345,-0.1388643038540994,-3.757260801192407,-2.0291484053285815,1.0543167988546345,-0.5114526106427795,-0.8484201542579912,-1.1532587290707448,-1.2764604079162019,1.0490946712794868e-15,292011.0,292011.0
Cytogenetic Technologists,2.8599758767104815,8.922085476041618,1.5435552396191763,1.4722819512856158,2.386155481957562,0.13710495654484503,-1.144009178834504,2.623930964453985,1.4439650804497735,-0.8708976156240901,-1.3089505437975832,-2.324707404176462,-2.2230771136381478,3.1182677193884762,1.0490946712794862e-15,292011.01,292011.0
Cytotechnologists,7.172980985051116,10.651089937871404,5.3028783946835,-1.264496671477582,3.6435703156778914,-1.3701043071559995,-0.9690438012123329,-1.118115346536795,1.367329075718568,-0.09430582108251648,3.198952139714771,1.745048168618662,1.9223904855355427,-1.2872921684358196,1.0490946712794868e-15,292011.02,292011.0
Power Plant Operators,13.506091885595657,0.4449851653853616,-0.9863785410908602,-1.0141677750671427,-3.0008146244833807,-4.0984761819472535,2.282269791760214,1.3557494994353245,-1.0759182427723668,5.101859932140486,-0.6520322302101178,-0.2909207952777516,-1.1973553097940386,-0.8024499593033253,1.0490946712794853e-15,518013.0,518013.0
Biomass Plant Technicians,14.02537607935043,-2.131891245392867,-3.6749060125054402,-1.9308608578396802,-2.133128930545619,-1.5459120814867664,-2.3221945722123425,-0.28950015268611456,-4.335530889951749,-4.606449728460733,-0.040408481036445114,0.5780348429774221,0.11238913937381825,0.40268496666937253,1.0490946712794876e-15,518013.03,518013.0
Hydroelectric Plant Technicians,11.440024938303843,-5.849285034688283,-6.132114965922474,2.2459414080175386,-1.5447534552362558,2.494671901488998,1.6947394274705334,1.0058244319855576,5.611555185417374,-1.0126866850064151,0.8356873873656896,0.03379344068936854,1.3672457536079825,0.2684055934852004,1.0490946712794868e-15,518013.04,518013.0
